,raceId,constructorId,points,position,wins,constructorRef,nationality,year,round,circuitId,name_y,date,circuitRef,location,country,lat,lng
98,338,10,8.0,6,0,force_india,Indian,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
99,338,15,0.0,9,0,sauber,Swiss,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
100,338,131,29.0,3,0,mercedes,German,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
101,338,205,0.0,10,0,lotus_racing,Malaysian,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
102,338,164,0.0,11,0,hrt,Spanish,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
103,338,166,0.0,12,0,virgin,British,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
104,841,1,26.0,2,0,mclaren,British,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
105,841,3,0.0,9,0,williams,British,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
106,841,4,15.0,4,0,renault,French,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
107,841,5,4.0,5,0,toro_rosso,Italian,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
108,841,6,18.0,3,0,ferrari,Italian,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
109,841,9,35.0,1,1,red_bull,Austrian,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
110,841,10,3.0,6,0,force_india,Indian,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
111,841,131,0.0,10,0,mercedes,German,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
112,841,205,0.0,7,0,lotus_racing,Malaysian,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
113,841,166,0.0,8,0,virgin,British,2011,1,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,-37.8497,144.968
114,860,1,40.0,1,1,mclaren,British,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
115,860,3,0.0,9,0,williams,British,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
116,860,5,2.0,6,0,toro_rosso,Italian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
117,860,6,10.0,4,0,ferrari,Italian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
118,860,9,30.0,2,0,red_bull,Austrian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
119,860,10,1.0,7,0,force_india,Indian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
120,860,15,12.0,3,0,sauber,Swiss,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
121,860,131,0.0,8,0,mercedes,German,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
122,860,206,0.0,10,0,marussia,Russian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
123,860,207,0.0,11,0,caterham,Malaysian,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
124,860,208,6.0,5,0,lotus_f1,British,2012,1,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,-37.8497,144.968
125,880,1,2.0,6,0,mclaren,British,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
126,880,3,0.0,9,0,williams,British,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
127,880,5,0.0,7,0,toro_rosso,Italian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
128,880,6,30.0,1,0,ferrari,Italian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
129,880,9,23.0,3,0,red_bull,Austrian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
130,880,10,10.0,5,0,force_india,Indian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
131,880,15,0.0,8,0,sauber,Swiss,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
132,880,131,10.0,4,0,mercedes,German,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
133,880,206,0.0,10,0,marussia,Russian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
134,880,207,0.0,11,0,caterham,Malaysian,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
135,880,208,26.0,2,1,lotus_f1,British,2013,1,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,-37.8497,144.968
136,900,1,33.0,1,0,mclaren,British,2014,1,1,Australian Grand Prix,3/16/2014,albert_park,Melbourne,Australia,-37.8497,144.968
